"Date","Price","Open","High","Low","Vol.","Change"
"Apr 14, 2017","1,177.3","1,176.2","1,195.4","1,162.2","47.22K","0.10"
"Apr 13, 2017","1,176.2","1,212.5","1,218.7","1,150.3","66.05K","-3.00"
"Apr 12, 2017","1,212.5","1,220.7","1,225.5","1,207.4","44.78K","-0.67"
"Apr 11, 2017","1,220.7","1,206.7","1,229.6","1,195.8","37.40K","1.16"
"Apr 10, 2017","1,206.7","1,204.3","1,214.9","1,194.8","40.01K","0.20"
"Apr 09, 2017","1,204.3","1,180.8","1,215.1","1,174.0","45.35K","2.00"
"Apr 08, 2017","1,180.8","1,190.5","1,198.2","1,166.7","33.18K","-0.82"
"Apr 07, 2017","1,190.5","1,188.7","1,201.2","1,173.2","59.75K","0.15"
"Apr 06, 2017","1,188.7","1,129.9","1,201.6","1,130.5","92.36K","5.21"
"Apr 05, 2017","1,129.9","1,141.8","1,143.8","1,110.1","69.47K","-1.04"
"Apr 04, 2017","1,141.8","1,147.6","1,161.2","1,122.2","71.00K","-0.50"
"Apr 03, 2017","1,147.6","1,097.4","1,157.9","1,095.6","98.50K","4.57"
"Apr 02, 2017","1,097.4","1,086.1","1,109.5","1,074.2","70.98K","1.04"
"Apr 01, 2017","1,086.1","1,079.1","1,103.7","1,067.5","50.66K","0.65"
"Mar 31, 2017","1,079.1","1,037.9","1,088.2","1,035.2","90.99K","3.97"
"Mar 30, 2017","1,037.9","1,041.9","1,052.7","1,020.9","74.99K","-0.38"
"Mar 29, 2017","1,041.9","1,044.4","1,058.7","1,008.3","68.85K","-0.24"
"Mar 28, 2017","1,044.4","1,045.1","1,068.4","1,015.5","80.00K","-0.07"
"Mar 27, 2017","1,045.1","969.4","1,048.8","961.8","91.26K","7.81"
"Mar 26, 2017","969.4","966.3","1,004.3","946.7","85.33K","0.32"
"Mar 25, 2017","966.3","939.7","996.0","890.4","127.05K","2.83"
"Mar 24, 2017","939.7","1,035.0","1,038.4","927.3","132.60K","-9.21"
"Mar 23, 2017","1,035.0","1,044.7","1,062.8","1,022.0","56.52K","-0.93"
"Mar 22, 2017","1,044.7","1,121.3","1,121.9","997.8","115.29K","-6.83"
"Mar 21, 2017","1,121.3","1,047.5","1,125.5","1,043.9","92.59K","7.04"
"Mar 20, 2017","1,047.5","1,022.6","1,057.5","1,005.0","61.43K","2.44"
"Mar 19, 2017","1,022.6","971.4","1,063.7","967.3","106.45K","5.27"
"Mar 18, 2017","971.4","1,071.7","1,103.6","940.2","210.42K","-9.36"
"Mar 17, 2017","1,071.7","1,172.9","1,174.9","1,063.5","163.74K","-8.63"
"Mar 16, 2017","1,172.9","1,253.4","1,260.2","1,119.0","132.77K","-6.43"
"Mar 15, 2017","1,253.4","1,243.1","1,256.9","1,236.4","43.59K","0.83"
"Mar 14, 2017","1,243.1","1,238.2","1,255.5","1,218.4","45.14K","0.40"
"Mar 13, 2017","1,238.2","1,225.1","1,245.6","1,205.6","60.46K","1.07"
"Mar 12, 2017","1,225.1","1,179.2","1,235.5","1,160.9","44.41K","3.89"
"Mar 11, 2017","1,179.2","1,112.4","1,202.7","1,104.8","70.75K","6.01"
"Mar 10, 2017","1,112.4","1,191.3","1,330.4","988.7","190.47K","-6.63"
"Mar 09, 2017","1,191.3","1,147.0","1,207.0","1,129.3","59.86K","3.87"
"Mar 08, 2017","1,147.0","1,232.7","1,242.0","1,136.9","97.88K","-6.95"
"Mar 07, 2017","1,232.7","1,277.0","1,280.9","1,148.7","87.72K","-3.47"
"Mar 06, 2017","1,277.0","1,271.2","1,280.6","1,261.0","31.03K","0.46"
"Mar 05, 2017","1,271.2","1,264.3","1,273.3","1,242.1","25.43K","0.55"
"Mar 04, 2017","1,264.3","1,283.3","1,285.8","1,228.7","38.42K","-1.48"
"Mar 03, 2017","1,283.3","1,255.5","1,291.3","1,250.8","67.28K","2.22"
"Mar 02, 2017","1,255.5","1,222.7","1,287.0","1,212.0","78.49K","2.68"
"Mar 01, 2017","1,222.7","1,189.3","1,225.0","1,154.6","51.15K","2.81"
"Feb 28, 2017","1,189.3","1,188.8","1,208.2","1,175.8","50.58K","0.04"
